"","WR","type","base","year","value","impacts"
"737","Belgium","pop","ES impacts (ton Cseq potential lost)","2004",1.65723204487258,"Production impacts"
"786","Belgium","gdp_cap","Biodiversity impacts (bird sp lost)","2005",6.77027610487207,"Production impacts"
"835","Belgium","pop","Biodiversity impacts (bird sp lost)","2005",2.21794415315205,"Production impacts"
"884","Belgium","gdp_cap","ES impacts (ton Cseq potential lost)","2005",6.77027610487207,"Production impacts"
"933","Belgium","pop","ES impacts (ton Cseq potential lost)","2005",2.21794415315205,"Production impacts"
"982","Belgium","gdp_cap","Biodiversity impacts (bird sp lost)","2006",8.85965441492896,"Production impacts"
"1031","Belgium","pop","Biodiversity impacts (bird sp lost)","2006",2.89435922448482,"Production impacts"
"1080","Belgium","gdp_cap","ES impacts (ton Cseq potential lost)","2006",8.85965441492896,"Production impacts"
"1129","Belgium","pop","ES impacts (ton Cseq potential lost)","2006",2.89435922448482,"Production impacts"
"1178","Belgium","gdp_cap","Biodiversity impacts (bird sp lost)","2007",11.3378345142845,"Production impacts"
"1227","Belgium","pop","Biodiversity impacts (bird sp lost)","2007",3.65272527740519,"Production impacts"
"1276","Belgium","gdp_cap","ES impacts (ton Cseq potential lost)","2007",11.3378345142845,"Production impacts"
"1325","Belgium","pop","ES impacts (ton Cseq potential lost)","2007",3.65272527740519,"Production impacts"
"1374","Belgium","gdp_cap","Biodiversity impacts (bird sp lost)","2008",11.4614102684452,"Production impacts"
"1423","Belgium","pop","Biodiversity impacts (bird sp lost)","2008",4.47480063406902,"Production impacts"
"1472","Belgium","gdp_cap","ES impacts (ton Cseq potential lost)","2008",11.4614102684452,"Production impacts"
"1521","Belgium","pop","ES impacts (ton Cseq potential lost)","2008",4.47480063406902,"Production impacts"
"1570","Belgium","gdp_cap","Biodiversity impacts (bird sp lost)","2009",7.59326158608704,"Production impacts"
"1619","Belgium","pop","Biodiversity impacts (bird sp lost)","2009",5.31879526886965,"Production impacts"
"1668","Belgium","gdp_cap","ES impacts (ton Cseq potential lost)","2009",7.59326158608704,"Production impacts"
"1717","Belgium","pop","ES impacts (ton Cseq potential lost)","2009",5.31879526886965,"Production impacts"
"1766","Belgium","gdp_cap","Biodiversity impacts (bird sp lost)","2010",9.069822430919,"Production impacts"
"1815","Belgium","pop","Biodiversity impacts (bird sp lost)","2010",6.52624801853433,"Production impacts"
"1864","Belgium","gdp_cap","ES impacts (ton Cseq potential lost)","2010",9.069822430919,"Production impacts"
"1913","Belgium","pop","ES impacts (ton Cseq potential lost)","2010",6.52624801853433,"Production impacts"
"1962","Belgium","gdp_cap","Biodiversity impacts (bird sp lost)","2011",9.50725270197951,"Production impacts"
